beginyear,medium,imageurl
1884,drawing,"https://api.nga.gov/iiif/95a6b605-a5ff-4a77-99f9-b243b68a07b7/full/!200,200/0/default.jpg"
1897,print,"https://api.nga.gov/iiif/844ff640-1a1d-4ca5-8562-550d3d150abb/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/86c98c80-15c1-48fd-878c-1f5b9876511a/full/!200,200/0/default.jpg"
1884,print,"https://api.nga.gov/iiif/80e761fa-72ee-4f2d-88a3-62f4e7f711f3/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/de9f5610-cece-483d-b389-73ab51fcbf72/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/f409f74b-7f0e-4ae7-a1fa-e24e0de79272/full/!200,200/0/default.jpg"
1845,photograph,"https://api.nga.gov/iiif/0d28dd57-29c2-4e05-9c34-fb709253ef64/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/b5ae84d6-f76c-4e9d-ad5d-117c55a029d1/full/!200,200/0/default.jpg"
1800,sculpture,"https://api.nga.gov/iiif/b38bda57-a5e3-43bb-8681-af9618a9aa5d/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/2c54f11f-acbf-43e5-a04e-d20b1b78e62c/full/!200,200/0/default.jpg"
1816,drawing,"https://api.nga.gov/iiif/441e1d3d-1d23-4a69-bf18-ee9d9813def6/full/!200,200/0/default.jpg"
1842,print,"https://api.nga.gov/iiif/2deeed8d-7047-47d4-8f99-d0f3996343e7/full/!200,200/0/default.jpg"
1860,photograph,"https://api.nga.gov/iiif/a3a72266-28f5-4273-8063-404c74d33f69/full/!200,200/0/default.jpg"
1500,drawing,"https://api.nga.gov/iiif/407969f0-5c4e-43ac-946d-0146047562b7/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/63f60eef-2e79-4576-99b9-85f6f5e85db1/full/!200,200/0/default.jpg"
1808,painting,"https://api.nga.gov/iiif/7d1364e0-09e4-42ff-811e-a2e9e237c59e/full/!200,200/0/default.jpg"
1847,print,"https://api.nga.gov/iiif/6ad5afaf-04b6-4f0b-9a44-3e6595219031/full/!200,200/0/default.jpg"
1620,painting,"https://api.nga.gov/iiif/5da649ea-4e91-4331-b7b8-d84e32aaabf4/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/e84a45b9-af90-453e-9be3-3cd05e73d3a2/full/!200,200/0/default.jpg"
1475,sculpture,"https://api.nga.gov/iiif/f0ae16ca-af50-4397-b633-7b02affe526b/full/!200,200/0/default.jpg"
1843,photograph,"https://api.nga.gov/iiif/3d09b7a8-22b3-408d-a218-e12601cdd2b8/full/!200,200/0/default.jpg"
1515,print,"https://api.nga.gov/iiif/5d73ca9d-e26c-4007-b8df-6b4bfe85daa4/full/!200,200/0/default.jpg"
1890,sculpture,"https://api.nga.gov/iiif/7ba2bc25-f048-4ee6-a71d-18099cb4512f/full/!200,200/0/default.jpg"
1741,print,"https://api.nga.gov/iiif/06cc84ae-ac69-4a7b-b9e3-a2147d144918/full/!200,200/0/default.jpg"
1845,drawing,"https://api.nga.gov/iiif/575db3b8-979d-4486-85f3-1089dd09aebc/full/!200,200/0/default.jpg"
1845,print,"https://api.nga.gov/iiif/07099cc6-9c72-4f6b-914a-20cc3f1b630b/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/95ccec70-c834-4331-854c-13be571fa5e5/full/!200,200/0/default.jpg"
1884,print,"https://api.nga.gov/iiif/3ffdd51b-d213-4cb1-ae59-a6c047bee135/full/!200,200/0/default.jpg"
