beginyear,vibrant,LightVibrant,closest_color,Muted,LightMuted,DarkMuted,Image URL
1480,#d29f5f,#e9c789,#743c27,#a9895d,#bc9f78,#765b3d,"https://api.nga.gov/iiif/70681fcc-b40a-4147-9803-c632037b4f74/full/!200,200/0/default.jpg"
1480,#e03a04,,#e03a04,,,,"https://api.nga.gov/iiif/a8a8fcd6-496e-40cb-a4b9-e4001642490b/full/!200,200/0/default.jpg"
1480,#bc4c2c,#f0c674,#744414,#978752,#cdc593,#5c583a,"https://api.nga.gov/iiif/f297f282-edcc-4190-88ff-96de868ec881/full/!200,200/0/default.jpg"
1480,#b78546,#cc9c54,#74421e,#8b774c,#c2bbb8,#4a3c26,"https://api.nga.gov/iiif/5ba0c489-5804-4136-974d-522eebfcd95f/full/!200,200/0/default.jpg"
1480,#b48454,#d4b47c,#245360,#9b8571,#cbc3ba,#543f32,"https://api.nga.gov/iiif/b805508a-ffe6-49d3-9a95-ae83e1046b18/full/!200,200/0/default.jpg"
1480,#84241c,,#84241c,,,,"https://api.nga.gov/iiif/191c3171-5ef9-46ee-9013-aace971dc8f2/full/!200,200/0/default.jpg"
1480,#8c6242,#a4d4dc,#5f4023,#6f603c,#aeccd4,#453a2e,"https://api.nga.gov/iiif/8a1d47f1-cab0-4746-857c-e3fecb0c0149/full/!200,200/0/default.jpg"
1480,#98492a,#d1a889,#6e3614,#a07e64,#c19674,#4c3421,"https://api.nga.gov/iiif/2f431fe3-d517-47af-9d01-de6fbce488b0/full/!200,200/0/default.jpg"
1480,#ab4c24,#d4b49c,#753418,#a47c5c,#b1987c,#6c553f,"https://api.nga.gov/iiif/e8999858-d161-4e7d-83c6-f8ea5ebeeabc/full/!200,200/0/default.jpg"
1482,#a85414,#bb9b6a,#593a1f,#ac8756,,,"https://api.nga.gov/iiif/fb441731-b7ea-4972-a1f4-51184adaddc9/full/!200,200/0/default.jpg"
1482,#a37b3d,,#a37b3d,,,,"https://api.nga.gov/iiif/b43e331e-ede9-44ca-a276-0b8806630fbd/full/!200,200/0/default.jpg"
1482,#bc7c34,#ebd6a6,#6f4c21,#a08758,#ccc4a2,#4e483a,"https://api.nga.gov/iiif/63049d6b-06b2-4e4b-9443-532df5b30fa7/full/!200,200/0/default.jpg"
1482,#9e7739,#e4d0a0,#775626,#8c7748,#bec2a6,#6d5836,"https://api.nga.gov/iiif/49cffd8d-5c06-4628-9369-1b6bdb3e7b90/full/!200,200/0/default.jpg"
1482,#c49c24,#e4d6aa,#762d12,#a88e55,#d0caad,#5d5c42,"https://api.nga.gov/iiif/823e1490-2c2a-41d6-9189-61c0a302f48f/full/!200,200/0/default.jpg"
1485,#ae3418,#ceb183,#8a1422,#6e90aa,#a0b2b7,#4c444c,"https://api.nga.gov/iiif/48990066-145b-49d2-bf4e-186de168f7c9/full/!200,200/0/default.jpg"
1485,#caaf79,#dcbd8f,#692a1f,#846444,#cdbea0,#5d472d,"https://api.nga.gov/iiif/3c4d40ea-b148-4a1f-b0d8-840929cbb973/full/!200,200/0/default.jpg"
1485,#b5474d,#c8ae74,#551218,#95614d,#acb5b5,#544328,"https://api.nga.gov/iiif/ffb111b5-5cc1-41f8-918f-c8a973709d0c/full/!200,200/0/default.jpg"
1485,#a36f37,#b9876c,#74351d,#91614d,#b7a487,#654d38,"https://api.nga.gov/iiif/03ee67ee-dd0e-443f-84ef-ede5f62ce0cd/full/!200,200/0/default.jpg"
1485,#cc9e60,#e4bc84,#6a4d2b,#b18756,#c1b49c,#4d4027,"https://api.nga.gov/iiif/e09f2884-f3ed-4275-a572-ea5a35769030/full/!200,200/0/default.jpg"
1488,#a8724a,#ceb196,#6c3c14,#718e98,#b2bcb5,#514e29,"https://api.nga.gov/iiif/7681ffe3-535b-4e75-9d28-a288d7ce0cf5/full/!200,200/0/default.jpg"
1489,#326f97,#a4c5d4,#6b371c,#af8a5d,#8bb0c2,#6d5a38,"https://api.nga.gov/iiif/53a3d42d-c211-4df6-b199-88086fdbd5a9/full/!200,200/0/default.jpg"
1490,#ab4b30,#dc9c84,#882f13,#a89273,#c8cdd6,#403b2d,"https://api.nga.gov/iiif/4823046d-8c2c-4ae0-bc6f-c9fcae27ff2b/full/!200,200/0/default.jpg"
