beginyear,medium,imageurl,hex_color
1861,painting,"https://api.nga.gov/iiif/22d3381d-2bd2-4998-a7f8-eaaffe13323e/full/!200,200/0/default.jpg","140, 121, 91"
1855,painting,"https://api.nga.gov/iiif/3bb66a1d-6b79-4a63-b397-a300ac41b6e1/full/!200,200/0/default.jpg","139, 129, 108"
1854,painting,"https://api.nga.gov/iiif/124e9d47-3fb9-422b-a2f9-9492d19f1ef2/full/!200,200/0/default.jpg","132, 121, 89"
1854,painting,"https://api.nga.gov/iiif/4d7e8ed4-e358-4721-b6b6-20b2a05e622f/full/!200,200/0/default.jpg","168, 148, 120"
1861,painting,"https://api.nga.gov/iiif/6d768583-a206-418d-adeb-3d00a138e2f5/full/!200,200/0/default.jpg","137, 122, 87"
1861,painting,"https://api.nga.gov/iiif/56ec0b7a-f749-4178-8eb0-071c13e73d0f/full/!200,200/0/default.jpg","126, 114, 86"
1854,painting,"https://api.nga.gov/iiif/04e094c1-89c8-47eb-967b-639bbaf342b9/full/!200,200/0/default.jpg","147, 139, 108"
1861,painting,"https://api.nga.gov/iiif/60707766-2bf0-4380-a186-bd2c74ea2b4d/full/!200,200/0/default.jpg","169, 137, 96"
1850,painting,"https://api.nga.gov/iiif/71b6fb58-fb7d-4e3a-87ae-7db7eb9df832/full/!200,200/0/default.jpg","124, 111, 88"
1861,painting,"https://api.nga.gov/iiif/e280b88d-ee73-45d8-82fb-21a6afb51053/full/!200,200/0/default.jpg","147, 125, 91"
