Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1500,"#ccae33",,,,,,"https://api.nga.gov/iiif/ce9520fd-b087-4075-92cc-8fe3dea990b0/full/!200,200/0/default.jpg"
1900,"#c86ca0","#f1e1c4","#602446","#9c8c75","#d4c2a1","#726858","https://api.nga.gov/iiif/ecd9037f-a4bb-4529-9d3e-bb6eef2e4c07/full/!200,200/0/default.jpg"
1837,"#c8cc5c","#d8c29c","#62641f","#a28d6e","#c0af93","#644c3b","https://api.nga.gov/iiif/51f075ff-4b13-4098-8593-6e5979d612bc/full/!200,200/0/default.jpg"
1837,"#e4c880","#ecd4b3","#6d5517","#a5927a","#d4be9e",,"https://api.nga.gov/iiif/5c7f2b64-be1a-446a-8de9-e8c3204371fa/full/!200,200/0/default.jpg"
1662,"#bf5434",,,,,,"https://api.nga.gov/iiif/5d4e3c37-4847-440c-90ae-f1271f209647/full/!200,200/0/default.jpg"
1837,"#ccbc88","#dbcbb2","#5c5027","#938673","#c4b49c","#4c433c","https://api.nga.gov/iiif/1fdc3c63-46df-4b68-93b7-0eb600e29f7d/full/!200,200/0/default.jpg"
1480,"#bc5044","#ecdcc4","#612922","#9a8c79","#d2c4ad","#5e5249","https://api.nga.gov/iiif/703d7c43-aec7-429d-8dbb-38ec58196dba/full/!200,200/0/default.jpg"
1897,"#c0a470","#dabb9c","#5c4a28","#876e55","#c3a78a","#54433a","https://api.nga.gov/iiif/8c78e3aa-52c4-49d7-8544-360ce746a7b1/full/!200,200/0/default.jpg"
1893,"#c8b689","#f4e4cc","#5a4c2a","#bcac84","#ccbca4",,"https://api.nga.gov/iiif/c8a9973f-41df-4982-90e2-976934adc4c7/full/!200,200/0/default.jpg"
1893,"#fccc4e","#fceccc","#825f02","#9c8c68","#d4c4a4","#786446","https://api.nga.gov/iiif/a11bea21-1c44-4c4e-b69c-1d6d2158301b/full/!200,200/0/default.jpg"
1600,"#c8a860","#c8a860","#624e22","#928474","#c5b59c","#4c423c","https://api.nga.gov/iiif/8c9329b1-ba6b-46eb-8306-a5fc49adbe64/full/!200,200/0/default.jpg"
1514,"#bcb06c",,,,,,"https://api.nga.gov/iiif/e8c4dfdd-a597-4194-aa73-8d7ba2d9bc35/full/!200,200/0/default.jpg"
1837,"#cbb48c","#ecd4ac","#5b4929","#927e62","#b8a280","#685844","https://api.nga.gov/iiif/6945223b-771b-4a46-a4e2-47d188e0fe8b/full/!200,200/0/default.jpg"
1880,"#ccac94","#dcc4a4","#593e2a","#9a8770","#ccb697","#50463e","https://api.nga.gov/iiif/6c0cd49b-9671-467e-9c71-56f000d85390/full/!200,200/0/default.jpg"
1631,"#cc60a8","#fcecd4","#64204d","#94846c","#d4c6b0","#5a4f45","https://api.nga.gov/iiif/97fc61a3-8ae9-4c15-99a0-692ff7840033/full/!200,200/0/default.jpg"
