beginyear,medium,imageurl
1884,drawing,"https://api.nga.gov/iiif/25f641eb-e004-4559-aedf-8cf5f19a2cfc/full/!200,200/0/default.jpg"
1825,print,"https://api.nga.gov/iiif/be2a31e0-8522-4990-b221-a3604fb0c9ee/full/!200,200/0/default.jpg"
1490,print,"https://api.nga.gov/iiif/343bde21-fb2d-48ac-90db-973b1c066ece/full/!200,200/0/default.jpg"
1480,print,"https://api.nga.gov/iiif/e2d8ae6e-02b8-4311-a37c-4418f7cdee9a/full/!200,200/0/default.jpg"
1575,drawing,"https://api.nga.gov/iiif/5e2471e7-0c9e-4ec4-aada-bea8f24fd8b0/full/!200,200/0/default.jpg"
1480,print,"https://api.nga.gov/iiif/e6563feb-0514-44ee-9625-979ec1dcbc94/full/!200,200/0/default.jpg"
1590,print,"https://api.nga.gov/iiif/c2f81c2c-fe9b-4169-982a-27460b431081/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/c9153850-5279-4fa8-b799-0f4b6648ab13/full/!200,200/0/default.jpg"
1500,drawing,"https://api.nga.gov/iiif/924de1db-fcae-4eec-8449-d5b4b85c7f3c/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/6a0b4ff7-4999-467e-a28d-73d75484c47a/full/!200,200/0/default.jpg"
1845,photograph,"https://api.nga.gov/iiif/7ba6e887-5e26-4aef-8269-1d75ddb2bc67/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/7abfd533-934e-4777-9bd7-5b8fba8f79cb/full/!200,200/0/default.jpg"
1860,drawing,"https://api.nga.gov/iiif/cb6144f7-434a-4e81-8f95-fdd961bc152c/full/!200,200/0/default.jpg"
