beginyear,hex_color,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl
1480,"#b4642d","#dfc1a6","#966037","#b48c6e","#c4c4c4","#2a3d41","https://api.nga.gov/iiif/432818dc-c2ec-423c-88ee-8280f07389eb/full/!800,800/0/default.jpg"
1475,"#973315","#dcc098","#691413","#997152","#bc9c81","#453a2f","https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/!800,800/0/default.jpg"
1475,"#b78747","#d4b4a4","#5c4424","#9c846c","#ccbcac","#3b2e23","https://api.nga.gov/iiif/c1b6591f-a427-4033-bbc8-667fbadc2707/full/!800,800/0/default.jpg"
1475,"#b56e34",,,,,,"https://api.nga.gov/iiif/f9a3bdc9-11a0-4eb1-a742-409ec97ede37/full/!800,800/0/default.jpg"
1480,"#c4946a","#dcbbb2","#5e4025","#9d7c5e","#d4b4a9","#805e43","https://api.nga.gov/iiif/82a06c63-ca60-41e5-8e70-a7ac18fa655b/full/!800,800/0/default.jpg"
1480,"#d28b21","#e5c865","#795309","#948e5f","#bcbcbc","#42753d","https://api.nga.gov/iiif/2a43a40e-c461-4ea3-a66d-b6eb85659ff7/full/!800,800/0/default.jpg"
1480,"#cba666","#e4c9a0","#7f431a","#946648","#ccb691","#764c3b","https://api.nga.gov/iiif/080ef6aa-3533-4d73-b9da-36e6b35cf09e/full/!800,800/0/default.jpg"
1480,"#b4843c","#edcc8a","#5c3e24","#a4845c","#c9aa85","#41301e","https://api.nga.gov/iiif/c4c95ba1-df2a-42d8-a816-0f63c3f2387a/full/!800,800/0/default.jpg"
1480,"#4c9834","#dbccb3","#316221","#8c7c6c","#c8b59c","#524639","https://api.nga.gov/iiif/fea8bfab-daf1-4ca8-9cb7-390d990366da/full/!800,800/0/default.jpg"
1480,"#a45c0c","#ddc490","#895125","#a57e59","#ae966e","#4b3522","https://api.nga.gov/iiif/65e15a24-59a1-4638-9a24-90adf47e92bc/full/!800,800/0/default.jpg"
1480,"#b7723f","#e4c597","#aa5d21","#b38055","#d4ccac","#6f4d36","https://api.nga.gov/iiif/52160af2-2740-45e3-8943-db47be28f26b/full/!800,800/0/default.jpg"
1480,"#b0781c","#e1c271","#946014","#836247","#d4bd9b","#5f402d","https://api.nga.gov/iiif/759a5974-4fee-4e53-9333-07b3ba548f25/full/!800,800/0/default.jpg"
1480,"#755533","#dfc8b4","#553f24","#a47c5c","#c2af9c","#564836","https://api.nga.gov/iiif/df97a25b-5ece-4fcd-bfc3-0cd1e2089c8e/full/!800,800/0/default.jpg"
1490,"#ad7f51",,,,,,"https://api.nga.gov/iiif/5d7971cd-3e19-4000-97c4-29c58f893157/full/!800,800/0/default.jpg"
